"Id","Contrato","Numero","Fecha Envio","Total","Adjunto","Estado"
"79","4112-47-CL19","3191-6509-SE19","03/12/2019","$1.332.800,00","","ACEPTADA"
"80","4112-47-CL19","3191-6510-SE19","03/12/2019","$1.332.800,00","","ACEPTADA"
"81","4112-47-CL19","3191-6511-SE19","03/12/2019","$1.332.800,00","","ACEPTADA"
"82","4112-47-CL19","3191-6512-SE19","03/12/2019","$1.332.800,00","","ACEPTADA"
"83","4112-47-CL19","3191-6514-SE19","03/12/2019","$1.332.800,00","","ACEPTADA"
"84","4112-47-CL19","3191-6516-SE19","03/12/2019","$1.332.800,00","","ACEPTADA"
"85","4112-47-CL19","3191-6518-SE19","03/12/2019","$1.332.800,00","","ACEPTADA"
"86","4112-47-CL19","3191-6713-SE19","11/12/2019","$1.332.800,00","","ACEPTADA"
"87","4112-47-CL19","3191-6967-SE19","21/12/2019","$1.332.800,00","","ACEPTADA"
"88","4112-47-CL19","3191-6968-SE19","21/12/2019","$1.332.800,00","","ACEPTADA"
"89","4112-47-CL19","3191-7083-SE19","27/12/2019","$1.332.800,00","","ACEPTADA"
"90","4112-51-CL17","3191-1926-SE21","07/04/2021","$4.681.241,00","","ACEPTADA"
"91","4112-51-CL17","3191-2069-SE18","18/04/2018","$5.058.692,00","","RECEPCIÓN CONFORME"
"92","4112-51-CL17","3191-2077-SE20","30/04/2020","$5.119.623,00","","ACEPTADA"
"93","4112-51-CL17","3191-2908-SE20","24/06/2020","$4.514.453,00","","ACEPTADA"
"94","4112-51-CL17","3191-3301-SE18","19/06/2018","$5.016.676,00","","RECEPCIÓN CONFORME"
"95","4112-51-CL17","3191-3824-SE19","31/07/2019","$4.789.470,00","","ACEPTADA"
"96","4112-51-CL17","3191-4000-SE18","24/07/2018","$4.982.536,00","","RECEPCIÓN CONFORME"
"97","4112-51-CL17","3191-4090-SE20","28/08/2020","$5.350.879,00","","ACEPTADA"
"98","4112-51-CL17","3191-4466-SE19","29/08/2019","$5.323.417,00","","RECEPCIÓN CONFORME"
"99","4112-51-CL17","3191-4867-SE18","27/08/2018","$5.027.180,00","","RECEPCIÓN CONFORME"
"100","4112-51-CL17","3191-5750-SE17","31/10/2017","$6.172.083,00","","RECEPCIÓN CONFORME"
"101","4112-51-CL17","3191-5940-SE18","18/10/2018","$5.364.596,00","","RECEPCIÓN CONFORME"
"102","4112-51-CL17","3191-5980-SE17","13/11/2017","$4.884.094,00","","RECEPCIÓN CONFORME"
"103","4112-51-CL17","3191-6040-SE19","12/11/2019","$4.788.658,00","","RECEPCIÓN CONFORME"
"104","4112-51-CL17","3191-612-SE21","26/01/2021","$5.094.292,00","","ACEPTADA"
"105","4112-51-CL17","3191-61-SE19","07/01/2019","$4.953.649,00","","RECEPCIÓN CONFORME"
"106","4112-51-CL17","3191-6621-SE18","20/11/2018","$5.327.831,00","","RECEPCIÓN CONFORME"
"107","4112-51-CL17","3191-6652-SE17","19/12/2017","$4.852.581,00","","RECEPCIÓN CONFORME"
"108","4112-51-CL17","3191-7054-SE19","27/12/2019","$4.927.145,00","","ACEPTADA"
"109","4112-51-CL17","3191-729-SE18","05/02/2018","$5.158.485,00","","RECEPCIÓN CONFORME"
"110","4112-58-CL18","3191-1082-SE21","19/02/2021","$1.976.880,00","","ACEPTADA"
"111","4112-58-CL18","3191-1145-SE20","06/03/2020","$2.149.311,00","","ACEPTADA"
"112","4112-58-CL18","3191-1264-SE19","22/03/2019","$1.627.968,00","","ACEPTADA"
"113","4112-58-CL18","3191-1483-SE20","24/03/2020","$4.040.140,00","","ACEPTADA"
"114","4112-58-CL18","3191-1522-SE21","16/03/2021","$1.884.808,00","","ACEPTADA"
"115","4112-58-CL18","3191-1684-SE19","16/04/2019","$2.023.190,00","","ACEPTADA"
"116","4112-58-CL18","3191-169-SE19","14/01/2019","$1.620.413,00","","RECEPCIÓN CONFORME"
"117","4112-58-CL18","3191-1908-SE20","16/04/2020","$2.652.262,00","","ACEPTADA"
"118","4112-47-CL20","3191-6138-SE20","17/12/2020","$4.399.010,00","","ACEPTADA"
"119","4112-58-CL18","3191-2405-SE20","26/05/2020","$1.634.536,00","","ACEPTADA"
"120","4112-58-CL18","3191-2542-SE19","28/05/2019","$3.599.921,00","","ACEPTADA"
"121","4112-58-CL18","3191-2839-SE20","19/06/2020","$1.567.863,00","","ACEPTADA"
"122","4112-58-CL18","3191-3327-SE19","05/07/2019","$2.374.950,00","","ACEPTADA"
"123","4112-58-CL18","3191-3415-SE20","21/07/2020","$1.889.077,00","","ACEPTADA"
"124","4112-58-CL18","3191-4177-SE19","14/08/2019","$2.176.024,00","","ACEPTADA"
"125","4112-58-CL18","3191-4447-SE19","29/08/2019","$2.146.027,00","","ACEPTADA"
"126","4112-58-CL18","3191-4607-SE20","24/09/2020","$2.327.435,00","","ACEPTADA"
"127","4112-58-CL18","3191-4608-SE20","24/09/2020","$2.476.657,00","","ACEPTADA"
"128","4112-58-CL18","3191-465-SE20","27/01/2020","$1.703.509,00","","ACEPTADA"
"129","4112-58-CL18","3191-489-SE21","20/01/2021","$2.594.895,00","","ACEPTADA"
"130","4112-58-CL18","3191-5077-SE19","27/09/2019","$2.884.579,00","","ACEPTADA"
"131","4112-58-CL18","3191-5122-SE20","23/10/2020","$2.685.435,00","","ACEPTADA"
"132","4112-58-CL18","3191-5599-SE19","21/10/2019","$3.492.631,00","","ACEPTADA"
"133","4112-58-CL18","3191-5932-SE20","09/12/2020","$3.296.771,00","","ACEPTADA"
"134","4112-58-CL18","3191-6056-SE19","12/11/2019","$2.912.387,00","","ACEPTADA"
"135","4112-58-CL18","3191-6202-SE20","22/12/2020","$2.429.471,00","","ACEPTADA"
"136","4112-58-CL18","3191-647-SE19","12/02/2019","$2.089.207,00","","RECEPCIÓN CONFORME"
"137","4112-58-CL18","3191-6835-SE18","30/11/2018","$1.950.167,00","","RECEPCIÓN CONFORME"
"138","4112-58-CL18","3191-7059-SE19","27/12/2019","$2.048.152,00","","ACEPTADA"
"139","4112-58-CL18","3191-7140-SE18","14/12/2018","$3.551.312,00","","ACEPTADA"
"140","4112-58-CL18","3191-7253-SE18","19/12/2018","$3.669.551,00","","RECEPCIÓN CONFORME"
"141","4112-5-CL21","3191-1226-SE21","26/07/2021","$941.280,00","","RECEPCIÓN CONFORME"
"142","4112-5-CL21","3191-1895-SE21","26/07/2021","$941.280,00","","RECEPCIÓN CONFORME"
"143","4112-66-CL18","3191-1016-SE19","08/03/2019","$520.625,00","","ACEPTADA"
"144","4112-66-CL18","3191-2145-SE20","06/05/2020","$8.198.957,00","","ACEPTADA"
"145","4112-66-CL18","3191-2829-SE20","19/06/2020","$1.249.482,00","","ACEPTADA"
"146","4112-66-CL18","3191-3158-SE19","25/06/2019","$464.100,00","","ACEPTADA"
"147","4112-66-CL18","3191-3525-SE19","15/07/2019","$372.470,00","","RECEPCIÓN CONFORME"
"148","4112-66-CL18","3191-3692-SE20","05/08/2020","$5.794.588,00","","ACEPTADA"
"149","4112-66-CL18","3191-4458-SE19","29/08/2019","$1.279.250,00","","RECEPCIÓN CONFORME"
"150","4112-66-CL18","3191-4945-SE20","14/10/2020","$252.870,00","","ACEPTADA"
"151","4112-66-CL18","3191-5672-SE20","25/11/2020","$758.611,00","","ACEPTADA"
"152","4112-66-CL18","3191-5828-SE19","05/11/2019","$749.700,00","","ACEPTADA"
"153","4112-66-CL18","3191-6221-SE20","22/12/2020","$1.011.481,00","","ACEPTADA"
"154","4112-66-CL18","3191-6476-SE19","29/11/2019","$743.733,00","","ACEPTADA"
"155","4112-66-CL18","3191-6771-SE19","13/12/2019","$1.071.000,00","","ACEPTADA"
"156","4112-66-CL18","3191-692-SE19","13/02/2019","$5.973.729,00","","RECEPCIÓN CONFORME"
"157","4112-66-CL18","3191-774-SE19","20/02/2019","$1.665.976,00","","RECEPCIÓN CONFORME"
"158","4112-67-CL18","3191-1918-SE19","26/04/2019","$1.944.443,00","","ACEPTADA"
"159","4112-67-CL18","3191-3864-SE20","18/08/2020","$1.944.443,00","","ACEPTADA"
"160","4112-67-CL18","3191-4983-SE20","16/10/2020","$1.944.443,00","","ACEPTADA"
"161","4112-67-CL18","3191-5142-SE19","01/10/2019","$1.128.409,00","","ACEPTADA"
"162","4112-67-CL18","3191-5217-SE19","04/10/2019","$1.944.443,00","","ACEPTADA"
"163","4112-67-CL18","3191-550-SE20","30/01/2020","$1.944.443,00","","ACEPTADA"
"164","4112-67-CL18","3191-592-SE21","25/01/2021","$1.944.443,00","","ACEPTADA"
"165","4112-67-CL18","3191-6093-SE20","16/12/2020","$1.944.443,00","","ENVIADA A PROVEEDOR"
"166","4112-68-CL18","3191-1032-SE19","11/03/2019","$1.614.950,00","","ACEPTADA"
"167","4112-68-CL18","3191-1205-SE21","26/02/2021","$1.614.950,00","","ACEPTADA"
"168","4112-68-CL18","3191-1427-SE19","02/04/2019","$1.614.950,00","","ACEPTADA"
"169","4112-68-CL18","3191-1679-SE20","01/04/2020","$1.614.950,00","","ACEPTADA"
"170","4112-68-CL18","3191-1748-SE21","29/03/2021","$1.614.950,00","","ACEPTADA"
"171","4112-68-CL18","3191-2101-SE20","04/05/2020","$1.614.949,00","","ACEPTADA"
"172","4112-68-CL18","3191-213-SE19","15/01/2019","$1.614.950,00","","RECEPCIÓN CONFORME"
"173","4112-68-CL18","3191-2321-SE19","15/05/2019","$1.614.950,00","","ACEPTADA"
"174","4112-68-CL18","3191-2325-SE19","16/05/2019","$1.614.950,00","","ACEPTADA"
"175","4112-68-CL18","3191-2555-SE20","02/06/2020","$1.614.950,00","","ACEPTADA"
"176","4112-68-CL18","3191-2612-SE19","03/06/2019","$1.614.950,00","","ACEPTADA"
"177","4112-68-CL18","3191-2680-SE19","04/06/2019","$1.614.950,00","","ACEPTADA"
"178","4112-68-CL18","3191-2833-SE20","19/06/2020","$1.614.950,00","","ACEPTADA"
"179","4112-68-CL18","3191-2899-SE20","24/06/2020","$1.614.950,00","","ACEPTADA"
"180","4112-68-CL18","3191-3153-SE19","25/06/2019","$1.614.950,00","","ACEPTADA"
"181","4112-68-CL18","3191-3693-SE20","05/08/2020","$1.614.950,00","","ACEPTADA"
"182","4112-68-CL18","3191-3699-SE19","24/07/2019","$1.614.950,00","","ACEPTADA"
"183","4112-68-CL18","3191-3861-SE20","18/08/2020","$1.614.950,00","","ACEPTADA"
"184","4112-68-CL18","3191-3-SE20","02/01/2020","$1.614.950,00","","ACEPTADA"
"185","4112-68-CL18","3191-4473-SE19","29/08/2019","$1.614.950,00","","RECEPCIÓN CONFORME"
"186","4112-68-CL18","3191-4556-SE20","22/09/2020","$1.614.950,00","","ACEPTADA"
"187","4112-68-CL18","3191-5220-SE19","04/10/2019","$1.614.950,00","","RECEPCIÓN CONFORME"
"188","4112-68-CL18","3191-5365-SE20","10/11/2020","$1.614.950,00","","ACEPTADA"
"189","4112-68-CL18","3191-5765-SE19","29/10/2019","$1.614.950,00","","ACEPTADA"
"190","4112-68-CL18","3191-598-SE21","25/01/2021","$1.614.950,00","","ACEPTADA"
"191","4112-68-CL18","3191-5993-SE20","11/12/2020","$1.614.950,00","","ACEPTADA"
"192","4112-68-CL18","3191-6247-SE20","23/12/2020","$1.614.950,00","","ACEPTADA"
"193","4112-68-CL18","3191-6473-SE19","29/11/2019","$1.614.950,00","","ACEPTADA"
"194","4112-68-CL18","3191-893-SE20","17/02/2020","$1.614.950,00","","ACEPTADA"
"195","4112-68-CL18","3191-942-SE19","05/03/2019","$1.659.017,00","","RECEPCIÓN CONFORME"
"196","4112-6-CL19","3191-1127-SE19","13/03/2019","$1.815.583,00","","ACEPTADA"
"197","4112-6-CL19","3191-1312-SE19","26/03/2019","$761.426,00","","ACEPTADA"
"198","4112-6-CL19","3191-1364-SE20","18/03/2020","$654.089,00","","ACEPTADA"
"199","4112-6-CL19","3191-1415-SE20","20/03/2020","$460.304,00","","ACEPTADA"
"200","4112-6-CL19","3191-1429-SE21","10/03/2021","$2.220.262,00","","ACEPTADA"
"201","4112-6-CL19","3191-1432-SE21","10/03/2021","$1.567.284,00","","ACEPTADA"
"202","4112-6-CL19","3191-1485-SE19","04/04/2019","$498.598,00","","ACEPTADA"
"203","4112-6-CL19","3191-1491-SE20","25/03/2020","$512.700,00","","ACEPTADA"
"204","4112-6-CL19","3191-1524-SE20","26/03/2020","$1.317.666,00","","ACEPTADA"
"205","4112-6-CL19","3191-1613-SE19","11/04/2019","$2.312.506,00","","ACEPTADA"
"206","4112-6-CL19","3191-1616-SE19","11/04/2019","$1.529.531,00","","ACEPTADA"
"207","4112-6-CL19","3191-171-SE19","14/01/2019","$2.286.643,00","","RECEPCIÓN CONFORME"
"208","4112-6-CL19","3191-2087-SE20","04/05/2020","$1.640.989,00","","ACEPTADA"
"209","4112-6-CL19","3191-2088-SE20","04/05/2020","$11.900.000,00","","ACEPTADA"
"210","4112-6-CL19","3191-2089-SE20","04/05/2020","$2.233.687,00","","ACEPTADA"
"211","4112-6-CL19","3191-2114-SE19","08/05/2019","$1.715.602,00","","ACEPTADA"
"212","4112-6-CL19","3191-2119-SE19","08/05/2019","$545.126,00","","ACEPTADA"
"213","4112-6-CL19","3191-2182-SE19","10/05/2019","$18.231,00","","ACEPTADA"
"214","4112-6-CL19","3191-2193-SE20","11/05/2020","$1.367.905,00","","ACEPTADA"
"318","4112-4-CL20","3191-415-SE21","18/01/2021","$5.085.935,00","","ACEPTADA"
"319","4112-4-CL20","3191-6466-SE19","29/11/2019","$8.777.024,00","","ACEPTADA"
"320","4112-4-CL20","3191-1665-SE20","31/03/2020","$6.396.089,00","","ACEPTADA"
"321","4112-4-CL20","3191-874-SE20","14/02/2020","$9.093.361,00","","ACEPTADA"
"322","4112-4-CL20","3191-4181-SE19","14/08/2019","$8.912.190,00","","ACEPTADA"
"323","4112-4-CL20","3191-7076-SE19","27/12/2019","$9.017.409,00","","ACEPTADA"
"324","4112-4-CL20","3191-6241-SE20","23/12/2020","$8.456.598,00","","ACEPTADA"
"325","4112-4-CL20","3191-4898-SE19","16/09/2019","$7.891.384,00","","ACEPTADA"
"326","4112-4-CL20","3191-144-SE20","09/01/2020","$6.257.895,00","","ACEPTADA"
"327","4112-4-CL21","3191-1254-SE21","02/03/2021","$992.639,00","","ACEPTADA"
"328","4112-41-CL19","3191-3852-SE20BK1","17/08/2020","$3.280.000,00","","ANULADA"
"329","4112-41-CL19","3191-3860-SE19BK1","31/07/2019","$2.400.000,00","","ANULADA"
"330","4112-41-CL19","3191-5461-SE20BK1","12/11/2020","$700.000,00","","ANULADA"
"331","4112-41-CL19","3191-6010-SE20BK1","14/12/2020","$1.400.000,00","","ANULADA"
"332","4112-41-CL19","3191-3510-SE20BK1","27/07/2020","$2.300.000,00","","ANULADA"
"333","4112-41-CL19","3191-1432-SE20BK1","23/03/2020","$2.025.000,00","","ANULADA"
"334","4112-41-CL19","3191-1940-SE21BK1","07/04/2021","$1.900.000,00","","ANULADA"
"335","4112-41-CL19","3191-3250-SE20BK1","13/07/2020","$7.142.857,00","","ANULADA"
"336","4112-41-CL19","3191-6631-SE19BK1","09/12/2019","$2.825.100,00","","ANULADA"
"337","4112-41-CL19","3191-1434-SE20BK1","23/03/2020","$4.150.000,00","","ANULADA"
"338","4112-25-CL20","3191-3696-SE20","05/08/2020","$3.333.333,00","","ACEPTADA"
"339","4112-25-CL20","3191-1915-SE21","06/04/2021","$3.333.333,00","","ACEPTADA"
"340","4112-25-CL20","3191-152-SE21","09/01/2021","$3.333.333,00","","ACEPTADA"
"341","4112-25-CL20","3191-4278-SE20","09/09/2020","$3.333.333,00","","ACEPTADA"
"342","4112-25-CL20","3191-3396-SE20","20/07/2020","$3.333.333,00","","ACEPTADA"
"343","4112-25-CL20","3191-874-SE21","09/02/2021","$3.333.333,00","","ACEPTADA"
"344","4112-25-CL20","3191-5379-SE20","10/11/2020","$3.333.333,00","","ACEPTADA"
"345","4112-25-CL20","3191-5891-SE20","04/12/2020","$3.333.333,00","","ACEPTADA"
"346","4112-25-CL20","3191-1430-SE21","10/03/2021","$3.333.333,00","","ACEPTADA"
"347","4112-25-CL20","3191-4974-SE20","15/10/2020","$3.333.333,00","","ACEPTADA"
"348","4112-38-CL18","3191-1879-SE19","24/04/2019","$9.800.296,00","","ACEPTADA"
"349","4112-38-CL18","3191-7458-SE18","28/12/2018","$36.872.431,00","","RECEPCIÓN CONFORME"
"350","4112-38-CL18","3191-4413-SE20","14/09/2020","$4.444.252,00","","ACEPTADA"
"351","4112-38-CL18","3191-5066-SE19","27/09/2019","$7.588.656,00","","ACEPTADA"
"352","4112-38-CL18","3191-345-SE21","13/01/2021","$5.393.719,00","","ACEPTADA"
"353","4112-38-CL18","3191-6446-SE19","28/11/2019","$11.411.885,00","","ACEPTADA"
"354","4112-38-CL18","3191-2261-SE20","14/05/2020","$9.277.646,00","","ACEPTADA"
"355","4112-38-CL18","3191-3387-SE19","08/07/2019","$8.764.748,00","","ACEPTADA"
"356","4112-38-CL18","3191-643-SE19","12/02/2019","$16.751.008,00","","RECEPCIÓN CONFORME"
"357","4112-38-CL18","3191-2678-SE20","11/06/2020","$8.045.121,00","","ACEPTADA"
"358","4112-38-CL18","3191-4409-SE19","27/08/2019","$7.094.718,00","","ACEPTADA"
"359","4112-38-CL18","3191-3472-SE20","23/07/2020","$3.118.583,00","","ACEPTADA"
"360","4112-38-CL18","3191-6440-SE19","28/11/2019","$8.291.501,00","","ACEPTADA"
"361","4112-38-CL18","3191-3764-SE20","11/08/2020","$3.194.952,00","","ACEPTADA"
"362","4112-38-CL18","3191-1941-SE20","21/04/2020","$11.814.530,00","","ACEPTADA"
"363","4112-38-CL18","3191-1212-SE19","19/03/2019","$6.014.842,00","","ACEPTADA"
"364","4112-38-CL18","3191-2000-SE21","09/04/2021","$8.009.400,00","","ACEPTADA"
"365","4112-38-CL18","3191-6976-SE19","21/12/2019","$9.718.780,00","","ACEPTADA"
"366","4112-38-CL18","3191-2830-SE19","11/06/2019","$8.134.890,00","","ACEPTADA"
"367","4112-38-CL18","3191-346-SE21","13/01/2021","$3.882.031,00","","ACEPTADA"
"368","4112-38-CL18","3191-1275-SE21","03/03/2021","$7.154.349,00","","ACEPTADA"
"369","4112-38-CL18","3191-966-SE20","20/02/2020","$6.584.177,00","","ACEPTADA"
"370","4112-38-CL18","3191-278-SE20","15/01/2020","$9.069.723,00","","ACEPTADA"
"371","4112-38-CL18","3191-6442-SE19","28/11/2019","$9.689.361,00","","ACEPTADA"
"372","4112-38-CL18","3191-1629-SE20","30/03/2020","$7.066.339,00","","ACEPTADA"
"373","4112-15-CL20","3191-468-SE21BK1","19/01/2021","$735.000,00","","ANULADA"
"374","4112-15-CL20","3191-5336-SE20BK1","09/11/2020","$475.000,00","","ANULADA"
"375","4112-15-CL20","3191-5276-SE20BK1","04/11/2020","$475.000,00","","ANULADA"
"376","4112-17-CL20","3191-1570-SE21BK1","19/03/2021","$1.624.000,00","","ANULADA"
"377","4112-15-CL20","3191-6029-SE20BK1","14/12/2020","$690.000,00","","ANULADA"
"378","4112-15-CL20","3191-5277-SE20BK1","04/11/2020","$475.000,00","","ANULADA"
"379","4112-15-CL20","3191-5338-SE20BK1","09/11/2020","$475.000,00","","ANULADA"
"380","4112-15-CL20","3191-4897-SE20BK1","09/10/2020","$475.000,00","","ANULADA"
"381","4112-6-CL21","3191-1112-SE21BK1","23/02/2021","$174.762,00","","ANULADA"
"382","4112-6-CL21","3191-5340-SE20BK1","09/11/2020","$171.591,00","","ANULADA"
"383","4112-6-CL21","3191-1950-SE21BK1","07/04/2021","$176.957,00","","ANULADA"
"384","4112-6-CL21","3191-1099-SE21BK1","22/02/2021","$179.349,00","","ANULADA"
"385","4112-6-CL21","3191-1290-SE21BK1","04/03/2021","$176.310,00","","ANULADA"
"386","4112-6-CL21","3191-157-SE21BK1","09/01/2021","$175.004,00","","ANULADA"
"387","4112-6-CL19","3191-2218-SE20","12/05/2020","$710.305,00","","ACEPTADA"
"388","4112-6-CL19","3191-2679-SE20","11/06/2020","$1.989.847,00","","ACEPTADA"
"389","4112-6-CL19","3191-2680-SE20","11/06/2020","$1.864.828,00","","ACEPTADA"
